Timestamp,PC,Type,Address,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write
152,0x563ec8e021bc,R,0x7ffeac767368,16,45903938764928,0,45903938764936,0,0,0,-45903938764960,-32,-32,-45904133759896,-48
154,0x563ec8e021c0,W,0x563ed47fb2c8,-45903938764960,-32,-45903938764944,-24,-45903938764928,-45903938764960,45903938764960,45903938764944,45903938764928,45903938764928,-194994936,45903938764960
157,0x563ec8e021ce,R,0x7ffeac767368,0,45903938764960,16,45903938764936,0,0,-32,-16,-32,-48,0,0
159,0x563ec8e021d2,W,0x7ffeac767358,-16,45903938764944,0,45903938764912,0,-16,-16,-16,-45904133759880,-32,16,-45903938764888
161,0x563ec8e021d6,R,0x7ffeac767348,-32,-16,-32,45903938764896,-16,45903938764904,0,0,-45904133759864,32,0,-45903938764872
162,0x563ec8e021d6,W,0x7ffeac767348,0,-16,-32,45903938764928,-16,45903938764904,0,-16,32,32,0,-45903938764864
164,0x563ec8e021da,R,0x7ffeac767348,0,0,-32,45903938764928,-16,45903938764896,-45904133759864,-16,32,-45903938764872,32,-45903938764864
168,0x563ec8e02193,W,0x7ffeac767338,-16,-16,-48,-32,-48,45903938764880,-45904133759848,48,16,-45903938764856,48,-45903938764880
171,0x563ec8e02074,R,0x563ec8e04fd0,-45904133759864,-45904133759848,-45904133759864,-45904133759880,-45904133759896,-194994936,45904133759896,45904133759896,45904133759864,194995000,45904133759880,194994968
173,0x563ec8e02198,W,0x7ffeac767368,45904133759896,48,32,32,0,45903938764960,0,-45903938764904,0,-45903938764896,-16,-45903938764928
175,0x563ec8e0219c,R,0x7ffeac767368,45904133759896,0,32,32,0,16,-32,-45903938764904,-16,-45903938764896,-16,-16
177,0x563ec8e021a0,R,0x7ffeac767348,-32,-32,0,16,0,-16,32,-45903938764872,16,-45903938764896,32,16
179,0x563ec8e021a3,W,0x563ed47fb300,-45903938764872,-45903938764904,194994992,-45903938764856,-45903938764872,-45903938764872,45903938764904,8,45903938764888,-24,45903938764904,45903938764872
181,0x563ec8e021a5,R,0x7ffeac767368,32,45903938764904,0,48,32,32,-16,-45903938764896,-16,-16,0,-32
183,0x563ec8e021a9,W,0x563ed47fb308,-45903938764896,8,-45903938764896,-45903938764896,194995000,-45903938764864,45903938764880,-32,45903938764896,45903938764880,45903938764864,45903938764864
185,0x563ec8e021b1,R,0x7ffeac767358,-16,45903938764880,16,-16,45904133759880,32,0,-45903938764912,16,0,-16,-16
188,0x563ec8e021b8,R,0x7ffeac767358,0,45903938764880,16,45903938764888,-16,32,16,-45903938764912,-16,0,-16,-32
190,0x563ec8e021bc,R,0x7ffeac767368,16,45903938764896,0,45903938764904,0,0,0,-45903938764928,-32,-32,-45904133759896,-48
192,0x563ec8e021c0,W,0x563ed47fb2e8,-45903938764928,-32,-45903938764912,-24,-45903938764896,-45903938764928,45903938764928,45903938764912,45903938764896,45903938764896,-194994968,45903938764928
195,0x563ec8e021ce,R,0x7ffeac767368,0,45903938764928,16,45903938764904,0,0,-32,-16,-32,-48,0,0
197,0x563ec8e021d2,W,0x7ffeac767358,-16,45903938764912,0,45903938764880,0,-16,-16,-16,-45904133759880,-32,16,-45903938764856
199,0x563ec8e021d6,R,0x7ffeac767348,-32,-16,-32,45903938764864,-16,45903938764872,0,0,-45904133759864,32,0,-45903938764840
200,0x563ec8e021d6,W,0x7ffeac767348,0,-16,-32,45903938764896,-16,45903938764872,0,-16,32,32,0,-45903938764832
202,0x563ec8e021da,R,0x7ffeac767348,0,0,-32,45903938764896,-16,45903938764864,-45904133759864,-16,32,-45903938764840,32,-45903938764832
206,0x563ec8e02193,W,0x7ffeac767338,-16,-16,-48,-32,-48,45903938764848,-45904133759848,48,16,-45903938764824,48,-45903938764848
209,0x563ec8e02074,R,0x563ec8e04fd0,-45904133759864,-45904133759848,-45904133759864,-45904133759880,-45904133759896,-194994968,45904133759896,45904133759896,45904133759864,194995032,45904133759880,194995000
211,0x563ec8e02198,W,0x7ffeac767368,45904133759896,48,32,32,0,45903938764928,0,-45903938764872,0,-45903938764864,-16,-45903938764896
213,0x563ec8e0219c,R,0x7ffeac767368,45904133759896,0,32,32,0,16,-32,-45903938764872,-16,-45903938764864,-16,-16
215,0x563ec8e021a0,R,0x7ffeac767348,-32,-32,0,16,0,-16,32,-45903938764840,16,-45903938764864,32,16
