Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_2_last_read_mean,Delta_with_2_last_read_std,Delta_with_2_last_read_median,Delta_with_2_last_read_unique,Delta_with_2_last_read_zeros_frac,Delta_with_2_last_read_entropy,Delta_with_2_last_read_mode,Delta_with_2_last_read_mode_count,Delta_with_2_last_read_ac_first_peak,Delta_with_2_last_read_fft_dom_bin,Delta_with_2_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,Delta_with_2_last_write_mean,Delta_with_2_last_write_std,Delta_with_2_last_write_median,Delta_with_2_last_write_unique,Delta_with_2_last_write_zeros_frac,Delta_with_2_last_write_entropy,Delta_with_2_last_write_mode,Delta_with_2_last_write_mode_count,Delta_with_2_last_write_ac_first_peak,Delta_with_2_last_write_fft_dom_bin,Delta_with_2_last_write_fft_dom_power,start,length,Target,Fine grained Target
-1.1703155896034056,3.207325527512908,-0.8047189562170501,16,0.3,2.370950594768684,0.0,30,3,30,165.11643264984372,-1.3372093683015231,3.306384810475691,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.88825180796343,0.6193965070763625,4.977701579543023,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,261.9477888771404,6.032759566319384,4.166220716212857,8.700347734514084,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.161127865215,500,100,6,1
-1.169982310286256,3.2065430246854367,-0.8047189562170501,16,0.3,2.370950594768684,0.0,30,3,30,165.08913779784336,-1.3368756440888174,3.305641727137484,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.8651461610596,0.6190632277592127,4.9759953012950575,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,261.876462520389,6.030428597945254,4.164727202680226,8.697011617992073,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.0904502703152,550,100,6,1
-1.1696479164986404,3.20575802664862,-0.8047189562170501,16,0.3,2.370950594768684,0.0,30,3,30,165.06175390004913,-1.336540802423238,3.3048962925367777,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.84196711510756,0.6187288339715972,4.974283379928861,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,261.8048978130048,6.028089841546092,4.163228722846703,8.693664334532016,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,197.0195373135838,600,100,6,1
-1.1693124007620426,3.20497051715666,-0.8047189562170501,16,0.3,2.370950594768684,0.0,30,3,30,165.03428036753044,-1.3362048357961778,3.3041484914285264,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.81871419215813,0.6183933182349992,4.972565777852476,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,261.7330931562409,6.025743244905632,4.161725243520336,8.690305809124883,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,196.94838742090025,650,100,6,1
-1.1689757555224154,3.204180479803422,-0.8047189562170501,16,0.3,2.370950594768684,0.0,30,3,30,165.0067166054711,-1.3358677366230938,3.303398308417631,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.79538690953885,0.6180566729953726,4.970842457096454,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,261.66104693520896,6.023388755280704,4.1602167311750735,8.686935966003333,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,196.87699900229305,700,100,6,1
-1.1686379731491645,3.2033878980203103,-0.8047189562170501,16,0.3,2.370950594768684,0.0,30,3,30,164.9790620130906,-1.3355294972424818,3.302645727956957,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.7719847797911,0.6177188906221212,4.96911337930877,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,261.5887575186611,6.021026319394102,4.158703151946264,8.683554728631462,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,196.805370451727,750,100,6,1
-1.1682990459341052,3.2025927550741047,-0.8047189562170501,16,0.3,2.370950594768684,0.0,30,3,30,164.95131598356403,-1.3351901099148278,3.30189073434532,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.74850731060658,0.6173799634070619,4.967378505749677,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,261.5162232587684,6.01865588342737,4.157184471626074,8.680162019694377,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,196.73350014688555,800,100,6,1
-1.1679589660904113,3.201795034064763,-0.8047189562170501,16,0.3,2.370950594768684,0.0,30,3,30,164.92347790394018,-1.3348495668215483,3.3011333117254265,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.72495400476228,0.617039883563368,4.9656377972864405,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,261.4434424908952,6.016277393013436,4.155660655658841,8.676757761087575,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,196.66138644895003,850,100,6,1
-1.16761772575154,3.20099471792319,-0.8047189562170501,16,0.3,2.370950594768684,0.0,30,3,30,164.89554715505912,-1.3345078600639102,3.300373444081791,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.70132436005463,0.6166986432244966,4.963891214388012,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,261.37041353337,6.0138907932291215,4.1541316691363335,8.67334187390617,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,196.5890277023751,900,100,6,1
-1.1672753169701395,3.200191789408961,-0.8047189562170501,16,0.3,2.370950594768684,0.0,30,3,30,164.86752311146762,-1.3341649816619274,3.2996111152386147,-1.0986122886681098,15,0.2,2.521928094965731,-3.49650756146648,20,10,10,146.67761786923234,0.6163562344430964,4.962138717119592,0.0,24,0.3,2.4464393447504027,0.0,30,3,30,261.29713468725186,6.011496028587548,4.1525974767929394,8.669914278433902,23,0.1,1.3567796496118891,-2.19722457733622,10,10,10,196.51642223466013,950,100,6,1
