Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_2_last_read_mean,Delta_with_2_last_read_std,Delta_with_2_last_read_median,Delta_with_2_last_read_unique,Delta_with_2_last_read_zeros_frac,Delta_with_2_last_read_entropy,Delta_with_2_last_read_mode,Delta_with_2_last_read_mode_count,Delta_with_2_last_read_ac_first_peak,Delta_with_2_last_read_fft_dom_bin,Delta_with_2_last_read_fft_dom_power,Delta_with_3_last_read_mean,Delta_with_3_last_read_std,Delta_with_3_last_read_median,Delta_with_3_last_read_unique,Delta_with_3_last_read_zeros_frac,Delta_with_3_last_read_entropy,Delta_with_3_last_read_mode,Delta_with_3_last_read_mode_count,Delta_with_3_last_read_ac_first_peak,Delta_with_3_last_read_fft_dom_bin,Delta_with_3_last_read_fft_dom_power,Delta_with_4_last_read_mean,Delta_with_4_last_read_std,Delta_with_4_last_read_median,Delta_with_4_last_read_unique,Delta_with_4_last_read_zeros_frac,Delta_with_4_last_read_entropy,Delta_with_4_last_read_mode,Delta_with_4_last_read_mode_count,Delta_with_4_last_read_ac_first_peak,Delta_with_4_last_read_fft_dom_bin,Delta_with_4_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,Delta_with_2_last_write_mean,Delta_with_2_last_write_std,Delta_with_2_last_write_median,Delta_with_2_last_write_unique,Delta_with_2_last_write_zeros_frac,Delta_with_2_last_write_entropy,Delta_with_2_last_write_mode,Delta_with_2_last_write_mode_count,Delta_with_2_last_write_ac_first_peak,Delta_with_2_last_write_fft_dom_bin,Delta_with_2_last_write_fft_dom_power,Delta_with_3_last_write_mean,Delta_with_3_last_write_std,Delta_with_3_last_write_median,Delta_with_3_last_write_unique,Delta_with_3_last_write_zeros_frac,Delta_with_3_last_write_entropy,Delta_with_3_last_write_mode,Delta_with_3_last_write_mode_count,Delta_with_3_last_write_ac_first_peak,Delta_with_3_last_write_fft_dom_bin,Delta_with_3_last_write_fft_dom_power,Delta_with_4_last_write_mean,Delta_with_4_last_write_std,Delta_with_4_last_write_median,Delta_with_4_last_write_unique,Delta_with_4_last_write_zeros_frac,Delta_with_4_last_write_entropy,Delta_with_4_last_write_mode,Delta_with_4_last_write_mode_count,Delta_with_4_last_write_ac_first_peak,Delta_with_4_last_write_fft_dom_bin,Delta_with_4_last_write_fft_dom_power,start,length,Target,Fine_grained_Target
-4.119759772703708,10.730242067611488,0.0,18,0.38,1.9072315245979987,0.0,38,8,25,419.3072331136734,-4.537519935381115,10.6195428998791,-2.19722457733622,18,0.24,1.9007101616210853,-3.044522437723423,26,8,25,379.6800469555607,-4.682747666275567,10.504671190550576,-1.0986122886681098,18,0.38,2.1472315246717475,0.0,38,8,25,480.67367834164736,-4.383426721984055,10.597959713366205,0.0,17,0.5,1.749711384910595,0.0,50,8,25,450.3204620492042,4.718324190133632,19.113679445447858,1.0986122886681098,29,0.37,1.3229349239878838,0.0,37,8,25,923.5038804294012,19.71211169755819,15.008574765168715,31.45626575635732,19,0.25,0.9580420224685556,0.0,25,8,38,443.0087376600848,3.825531925726189,18.77741627551318,0.0,29,0.51,1.7392756034943075,0.0,51,8,12,700.7410447980371,20.36675357083944,14.4839632285612,31.456265756357407,19,0.12,0.9506720929293964,2.19722457733622,25,4,25,823.1310345658736,500,100,3,1
-3.752779644989469,10.396527333048477,0.0,17,0.39,2.130998777696401,0.0,39,8,25,385.5796194907836,-4.179012786270747,10.295856649409464,-1.0986122886681098,17,0.25,2.2394227687016603,-3.044522437723423,26,8,25,346.1190059406612,-4.39383450228654,10.155849742528796,-1.0986122886681098,17,0.38,2.147231524750065,0.0,38,8,25,452.0654781472635,-4.06039108581654,10.25207415012703,0.0,16,0.51,1.9792756030129488,0.0,51,8,25,419.09617722596965,5.0548590934705,18.766913333224736,2.19722457733622,28,0.37,1.9030845704035448,0.0,37,8,25,893.4538280190287,19.696017318433515,15.028827730288077,31.4562657563568,19,0.26,0.9580420224685556,0.0,26,8,13,440.2777622012921,4.769219898416837,18.824865593478616,0.0,29,0.5,1.73942276815797,0.0,50,8,12,697.7648145880627,20.36675357083909,14.483963228560942,31.456265756356885,19,0.12,0.9506720929293964,2.19722457733622,25,4,25,823.1310345658585,550,100,3,1
-3.744306666385535,10.406357305315762,0.0,17,0.37,2.1527959547937274,0.0,37,8,25,388.5718134063654,-4.087677113138984,10.327972533996268,0.0,17,0.26,1.908259036209143,0.0,26,8,25,352.10262580115585,-4.371862256513116,10.172069131470815,-1.0986122886681098,17,0.37,2.1630845712252427,0.0,37,8,25,455.2004569839547,-4.029945861439244,10.268594240307872,0.0,16,0.5,1.9994227692584128,0.0,50,8,25,422.1040121260569,4.456179002720523,18.39004794092057,1.0986122886681098,27,0.38,2.15694290937488,0.0,38,8,25,853.9263920812459,20.010579975996745,14.942236001759278,31.45626575635628,20,0.25,0.9506720929293964,0.0,25,8,38,443.0087376600687,4.799665122793997,18.81958896814036,0.0,29,0.49,1.7592813761568318,0.0,49,8,12,700.7410447980131,20.0521909132752,14.580964126071692,31.45626575635632,19,0.13,0.9580420224685556,2.19722457733622,25,4,25,838.0227422026203,600,100,3,1
-4.1112867940996205,10.740056118947704,0.0,18,0.36,2.178547652442487,0.0,36,8,25,422.28723111466377,-4.446184262249197,10.65375675073022,-1.0986122886681098,18,0.25,2.259422768701085,0.0,25,8,25,385.6916451048031,-4.660775420501989,10.520956201138135,-1.0986122886681098,18,0.37,1.8267463734020848,0.0,37,8,25,483.8050899674635,-4.352981497606605,10.61486802383129,0.0,17,0.49,1.7695699929090791,0.0,49,8,25,453.33238185849046,4.119644099383542,18.733035409750304,0.0,28,0.38,2.15694290937488,0.0,38,8,25,884.23845697915,20.02667435512074,14.921526225085032,31.456265756355705,20,0.24,0.9506720929293964,0.0,24,8,13,440.2777622012772,3.855977150103239,18.77365675315384,0.0,29,0.5,1.7594227697395508,0.0,50,8,12,697.764814588038,20.052190913274853,14.580964126071429,31.456265756355748,20,0.13,0.9580420224685556,2.19722457733622,25,4,25,838.0227422026051,650,100,3,1
-4.119759772703425,10.730242067610767,0.0,18,0.38,1.9072315245979987,0.0,38,8,25,419.3072331136451,-4.537519935380832,10.619542899878384,-2.19722457733622,18,0.24,1.9007101616210853,-3.044522437723423,26,8,25,379.68004695553225,-4.682747666275285,10.504671190549852,-1.0986122886681098,18,0.38,2.1472315246717475,0.0,38,8,25,480.67367834161934,-4.383426721983772,10.597959713365482,0.0,17,0.5,1.749711384910595,0.0,50,8,25,450.3204620491762,4.718324190133348,19.113679445446525,1.0986122886681098,29,0.37,1.3229349239878838,0.0,37,8,25,923.503880429338,19.71211169755684,15.00857476516766,31.45626575635514,19,0.25,0.9580420224685556,0.0,25,8,38,443.0087376600532,3.8255319257259455,18.77741627551187,0.0,29,0.51,1.7392756034943075,0.0,51,8,12,700.7410447979884,20.36675357083806,14.483963228560146,31.456265756355226,19,0.12,0.9506720929293964,2.19722457733622,25,4,25,823.1310345658133,700,100,3,1
-3.7527796449892072,10.396527333047777,0.0,17,0.39,2.130998777696401,0.0,39,8,25,385.5796194907573,-4.179012786270485,10.295856649408774,-1.0986122886681098,17,0.25,2.2394227687016603,-3.044522437723423,26,8,25,346.119005940635,-4.3938345022862775,10.155849742528098,-1.0986122886681098,17,0.38,2.147231524750065,0.0,38,8,25,452.0654781472375,-4.060391085816278,10.25207415012633,0.0,16,0.51,1.9792756030129488,0.0,51,8,25,419.0961772259438,5.054859093470194,18.766913333223428,2.19722457733622,28,0.37,1.9030845704035448,0.0,37,8,25,893.4538280189676,19.69601731843216,15.028827730287022,31.45626575635461,19,0.26,0.9580420224685556,0.0,26,8,13,440.2777622012615,4.769219898416533,18.824865593477305,0.0,29,0.5,1.73942276815797,0.0,50,8,12,697.7648145880138,20.366753570837727,14.483963228559888,31.456265756354703,19,0.12,0.9506720929293964,2.19722457733622,25,4,25,823.131034565798,750,100,3,1
-3.7443066663852727,10.406357305315066,0.0,17,0.37,2.1527959547937274,0.0,37,8,25,388.5718134063392,-4.087677113138721,10.327972533995576,0.0,17,0.26,1.908259036209143,0.0,26,8,25,352.1026258011297,-4.371862256512853,10.17206913147012,-1.0986122886681098,17,0.37,2.1630845712252427,0.0,37,8,25,455.2004569839288,-4.029945861438981,10.268594240307175,0.0,16,0.5,1.9994227692584128,0.0,50,8,25,422.10401212603097,4.45617900272026,18.39004794091929,1.0986122886681098,27,0.38,2.15694290937488,0.0,38,8,25,853.9263920811874,20.010579975995373,14.942236001758229,31.45626575635409,20,0.25,0.9506720929293964,0.0,25,8,38,443.008737660037,4.799665122793691,18.81958896813905,0.0,29,0.49,1.7592813761568318,0.0,49,8,12,700.7410447979643,20.05219091327384,14.580964126070633,31.45626575635413,19,0.13,0.9580420224685556,2.19722457733622,25,4,25,838.022742202559,800,100,3,1
-4.111286794099337,10.740056118946985,0.0,18,0.36,2.178547652442487,0.0,36,8,25,422.28723111463546,-4.446184262248913,10.6537567507295,-1.0986122886681098,18,0.25,2.259422768701085,0.0,25,8,25,385.6916451047747,-4.660775420501706,10.520956201137414,-1.0986122886681098,18,0.37,1.8267463734020848,0.0,37,8,25,483.8050899674354,-4.352981497606321,10.614868023830564,0.0,17,0.49,1.7695699929090791,0.0,49,8,25,453.3323818584624,4.119644099383303,18.733035409749,0.0,28,0.38,2.15694290937488,0.0,38,8,25,884.2384569790895,20.026674355119365,14.921526225083982,31.456265756353524,20,0.24,0.9506720929293964,0.0,24,8,13,440.27776220124633,3.855977150103,18.773656753152533,0.0,29,0.5,1.7594227697395508,0.0,50,8,12,697.7648145879891,20.052190913273503,14.58096412607037,31.456265756353567,20,0.13,0.9580420224685556,2.19722457733622,25,4,25,838.0227422025436,850,100,3,1
-4.119759772703141,10.730242067610046,0.0,18,0.38,1.9072315245979987,0.0,38,8,25,419.3072331136168,-4.537519935380548,10.619542899877668,-2.19722457733622,18,0.24,1.9007101616210853,-3.044522437723423,26,8,25,379.680046955504,-4.6827476662750005,10.504671190549132,-1.0986122886681098,18,0.38,2.1472315246717475,0.0,38,8,25,480.6736783415912,-4.383426721983487,10.597959713364755,0.0,17,0.5,1.749711384910595,0.0,50,8,25,450.3204620491481,4.718324190133064,19.1136794454452,1.0986122886681098,29,0.37,1.3229349239878838,0.0,37,8,25,923.5038804292748,19.71211169755549,15.0085747651666,31.45626575635296,19,0.25,0.9580420224685556,0.0,25,8,38,443.0087376600215,3.8255319257257066,18.77741627551057,0.0,29,0.51,1.7392756034943075,0.0,51,8,12,700.7410447979395,20.366753570836696,14.483963228559094,31.456265756353044,19,0.12,0.9506720929293964,2.19722457733622,25,4,25,823.1310345657527,900,100,3,1
-3.752779644988946,10.396527333047082,0.0,17,0.39,2.130998777696401,0.0,39,8,25,385.57961949073126,-4.179012786270224,10.29585664940808,-1.0986122886681098,17,0.25,2.2394227687016603,-3.044522437723423,26,8,25,346.1190059406088,-4.393834502286017,10.1558497425274,-1.0986122886681098,17,0.38,2.147231524750065,0.0,38,8,25,452.0654781472117,-4.060391085816017,10.252074150125631,0.0,16,0.51,1.9792756030129488,0.0,51,8,25,419.0961772259178,5.05485909346989,18.76691333322212,2.19722457733622,28,0.37,1.9030845704035448,0.0,37,8,25,893.4538280189059,19.69601731843081,15.02882773028596,31.45626575635244,19,0.26,0.9580420224685556,0.0,26,8,13,440.2777622012307,4.769219898416227,18.824865593476,0.0,29,0.5,1.73942276815797,0.0,50,8,12,697.7648145879649,20.36675357083635,14.483963228558835,31.45626575635252,19,0.12,0.9506720929293964,2.19722457733622,25,4,25,823.1310345657377,950,100,3,1
