Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target,Fine_grained_Target
-0.302730673517996,2.45513060832767,0,14,0.19,2.5638022525994,0,19,5,39,76.2333563656926,-0.927351620103932,2.57720001298975,-1.6094379124341,13,0.22,2.38855891121163,-1.6094379124341,27,31,26,82.9263514124405,2850,100,1,1
-0.31717252526428,2.53265340065414,0,15,0.18,2.60703136093581,0,18,5,39,79.628708045917,-0.864242108001766,2.6493779209976,-1.6094379124341,14,0.24,2.4362823677295,-1.6094379124341,26,31,26,84.2046157793565,2900,100,1,1
-0.276419855647618,2.41229180238315,0,14,0.21,2.55505129905695,0,21,5,39,66.8250647799584,-0.887169263370439,2.57903345734771,-1.6094379124341,13,0.22,2.65908787955266,-1.6094379124341,26,31,26,85.4217589632269,2950,100,1,1
-0.189590606375694,2.36109455979971,0,14,0.2,2.5046734448242,0,20,5,39,66.0052116097741,-0.819083841163251,2.51224793222928,-1.6094379124341,13,0.23,2.62729246078235,-1.6094379124341,26,31,26,75.1970822871393,3000,100,1,1
-0.229693687747818,2.43402954047622,0,15,0.2,2.53709632008174,0,20,5,26,60.128612485566,-0.855098113067615,2.56571075841663,-1.6094379124341,14,0.23,2.65370999641857,-1.6094379124341,26,31,26,77.6282308464961,3050,100,1,1
-0.350076238451415,2.50846563183132,0,15,0.19,2.5870189420354,0,19,15,39,72.1714708736919,-0.801785487480104,2.82485426172704,-1.6094379124341,15,0.22,2.69917056140286,-1.6094379124341,25,31,26,96.5059847471788,3100,100,1,1
-0.251346755561922,2.45919876970211,0,14,0.19,2.54351404823304,0,19,5,39,77.6869754336116,-0.882273768665954,2.57888008387105,-1.6094379124341,13,0.23,2.66089386503272,-1.6094379124341,25,31,26,81.142315214428,3150,100,1,1
-0.284829967243696,2.44713292641139,0,14,0.2,2.5573845244481,0,20,5,39,74.623447508135,-0.929148110619462,2.56271150245848,-1.6094379124341,13,0.22,2.63879967518642,-1.6094379124341,27,31,26,82.5455318064585,3200,100,1,1
-0.330838480110088,2.50913995693534,0,15,0.18,2.61983697164726,0,18,5,39,78.8314602983804,-0.799914592967929,2.73425096592753,-1.6094379124341,15,0.23,2.69764284013186,-1.6094379124341,26,31,26,89.9327686567518,3250,100,1,1
-0.244138136881584,2.42991539738837,0,14,0.2,2.55190205959005,0,20,5,39,68.1205746962517,-0.872901211511953,2.56485635072744,-1.6094379124341,13,0.23,2.66089386503272,-1.6094379124341,25,31,26,85.8519218422996,3300,100,1,1
-0.320864160786297,2.42528545377061,0,14,0.2,2.54911848467027,0,20,5,39,80.0812053728076,-0.84165276895817,2.65684273175036,-1.6094379124341,14,0.22,2.65908787955266,-1.6094379124341,26,31,26,92.0953063768077,3350,100,1,1
-0.254772746535806,2.43337213679643,0,14,0.19,2.56569155580443,0,19,5,39,75.5935715989747,-0.869284888655796,2.55988186271209,-1.6094379124341,13,0.23,2.65461226877239,-1.6094379124341,26,31,26,79.8040350045368,3400,100,1,1
-0.283444408833174,2.443587896888,0,14,0.2,2.5573845244481,0,20,16,39,74.5851875022745,-0.914431335197341,2.55237302947136,-1.6094379124341,13,0.23,2.64116068026092,-1.6094379124341,26,31,26,81.9894017142416,3450,100,1,1
-0.269039656186127,2.4317365848114,0,15,0.2,2.52241781993181,0,20,16,39,68.3673644659649,-0.887927621618631,2.55431640497743,-1.6094379124341,14,0.22,2.65908787955266,-1.6094379124341,26,4,26,75.6075121367876,3500,100,1,1
-0.230614274067929,2.43012328927569,0,15,0.2,2.53709632008174,0,20,5,26,57.762164300404,-0.866312000628046,2.54955681088176,-1.6094379124341,14,0.23,2.65461226877239,-1.6094379124341,26,31,26,74.7540217462911,3550,100,1,1
-0.312158654997038,2.49963235147271,0,15,0.19,2.61528977008238,0,19,5,39,79.1493287915088,-0.720865471749971,2.81053508756342,-1.6094379124341,15,0.23,2.71530796394851,-1.6094379124341,25,31,26,92.014175454396,3600,100,1,1
-0.258276221680726,2.42853894175169,0,14,0.19,2.55831978774135,0,19,16,39,69.5667846006238,-0.890940351766241,2.5488218943821,-1.6094379124341,13,0.22,2.65908787955266,-1.6094379124341,26,31,26,84.1201016569998,3650,100,1,1
-0.34453387818046,2.4302887813686,0,14,0.19,2.5458248288229,0,19,5,39,77.8313567525512,-0.939591037387628,2.54378684723705,-1.6094379124341,13,0.22,2.64563629104118,-1.6094379124341,26,31,26,82.1210170522199,3700,100,1,1
-0.206241413172863,2.44634105367589,0,14,0.19,2.55595878266683,0,19,5,39,74.8036103624103,-0.824725061334673,2.57255333994017,-1.6094379124341,13,0.23,2.68331142306627,-1.6094379124341,25,31,26,83.1828879707447,3750,100,1,1
-0.23968446039132,2.43474486319923,0,14,0.2,2.6263618961669,0,20,16,39,71.7168024963672,-0.902084318771318,2.52828355199784,-1.6094379124341,13,0.23,2.63432406440615,-1.6094379124341,27,31,26,81.9738580572925,3800,100,1,1
-0.407011461534997,2.48277113501208,0,15,0.19,2.67007930015301,0,19,5,39,76.3616103899901,-0.807450559898922,2.78372660220499,-1.6094379124341,15,0.22,2.69917056140286,-1.6094379124341,25,31,26,95.3528333619588,3850,100,1,1
-0.228918688169444,2.42213464890818,0,14,0.2,2.6115561566586,0,20,5,39,74.6654901975254,-0.860249603509983,2.54797006153089,-1.6094379124341,13,0.22,2.67675300336931,-1.6094379124341,25,31,26,81.9157674952525,3900,100,1,1
