Timestamp,PC,Type,Address,pattern_type,Delta_with_1_last_read,Delta_with_1_last_write,Delta_with_2_last_read,Delta_with_2_last_write,Delta_with_3_last_read,Delta_with_3_last_write,Delta_with_4_last_read,Delta_with_4_last_write,Delta_with_5_last_read,Delta_with_5_last_write,Delta_with_6_last_read,Delta_with_6_last_write,Delta_with_7_last_read,Delta_with_7_last_write,Delta_with_8_last_read,Delta_with_8_last_write,Delta_with_1_next_read,Delta_with_1_next_write,Delta_with_2_next_read,Delta_with_2_next_write,Delta_with_3_next_read,Delta_with_3_next_write,Delta_with_4_next_read,Delta_with_4_next_write,Delta_with_5_next_read,Delta_with_5_next_write,Delta_with_6_next_read,Delta_with_6_next_write,Delta_with_7_next_read,Delta_with_7_next_write,Delta_with_8_next_read,Delta_with_8_next_write
156,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1648,20,20,0,56,20,8,56,56,46493810976176,24,48,-8,-20,-1644,-20,-20,-24,-1640,0,-1636,-20,-20,-20,-20,-24,-1628,-20,-20
158,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1628,0,0,-20,-20,4,-12,36,4,4,4,-372,-28,0,-1624,0,0,-4,0,0,-1616,0,-1612,0,0,20,-1608,0,0
161,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1628,0,0,0,-20,4,36,0,4,4,36,46493810976156,-28,0,-1624,0,-1620,20,0,0,0,0,-1612,-4,0,0,-1608,0,0
163,0x55b359b912a4,W,0x7ffc88cf9f14,1,-1624,-1624,-1644,4,-1624,-1624,-1624,-1644,-1644,-1588,-1624,-1636,-1588,-1588,46493810974532,-1620,1624,1624,1620,4,1644,8,1624,1624,1624,12,1644,1624,1624,16,1624,1624
165,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1624,0,1628,4,0,0,-20,0,36,4,-12,36,4,4,4,0,0,-4,0,0,-1616,0,0,-4,-1612,0,0,0,-1608,0,-1604
166,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1624,0,0,-20,0,0,-20,0,36,-20,-12,0,4,4,36,0,-1620,20,0,0,-1616,0,0,20,-1612,0,0,0,0,-4,-1604
168,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1628,4,-20,0,36,0,-12,4,4,36,36,-4,-1620,0,0,0,-1616,-4,0,0,-1612,0,-1608,0,0,-4,0
170,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1620,-4,1624,0,-4,-4,32,-4,-16,-24,0,-4,32,24,-1616,4,4,4,-1612,24,4,4,4,4,-1604,4,-1600,24,4
173,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1644,20,20,0,20,20,0,20,8,20,24,24,56,-20,-1640,-20,-20,-24,-1636,0,-1632,-20,-20,-20,-20,-24,-1624,-20,-20
175,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1624,0,0,-20,1628,4,-20,0,36,0,4,-20,36,0,-1620,0,0,-4,0,0,-1612,0,-1608,0,0,20,-1604,0,0
178,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1624,0,0,0,1628,4,0,0,36,0,-12,0,36,0,-1620,0,-1616,20,0,0,0,0,-1608,-4,0,0,-1604,0,0
180,0x55b359b912a4,W,0x7ffc88cf9f18,1,-1620,-1620,-1640,4,-1620,-1620,-1620,8,-1640,-1620,-1620,-1640,-1620,-1632,-1620,-1616,1620,1620,1616,4,1640,8,1620,1620,1620,12,1640,1620,1620,16,1620,1620
182,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1620,0,1624,4,0,0,1628,0,0,4,-20,0,36,0,4,0,0,-4,0,0,-1612,0,0,-4,-1608,0,0,0,-1604,0,-1600
183,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1620,0,0,-20,0,0,1628,0,0,-20,-20,0,36,0,-12,0,-1616,20,0,0,-1612,0,0,20,-1608,0,0,0,0,-4,-1600
185,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1624,4,1628,0,0,0,-20,4,36,0,-12,-4,-1616,0,0,0,-1612,-4,0,0,-1608,0,-1604,0,0,-4,0
187,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1616,-4,1620,0,-4,-4,-4,-4,-24,-24,32,-4,-16,24,-1612,4,4,4,-1608,24,4,4,4,4,-1600,4,-1596,24,4
190,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1640,20,20,0,20,20,1648,20,0,20,56,24,8,-20,-1636,-20,-20,-24,-1632,0,-1628,-20,-20,-20,-20,-24,-1620,-20,-20
192,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1620,0,0,-20,1624,4,1628,0,0,0,36,-20,-12,0,-1616,0,0,-4,0,0,-1608,0,-1604,0,0,20,-1600,0,0
195,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1620,0,0,0,1624,4,0,0,0,0,-20,0,-12,0,-1616,0,-1612,20,0,0,0,0,-1604,-4,0,0,-1600,0,0
197,0x55b359b912a4,W,0x7ffc88cf9f1c,1,-1616,-1616,-1636,4,-1616,-1616,-1616,8,-1636,-1616,-1616,12,-1616,-1636,-1616,-1580,1616,1616,1612,4,1636,8,1616,1616,1616,12,1636,1616,1616,16,1616,1616
199,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1616,0,1620,4,0,0,1624,0,0,4,1628,0,0,0,36,0,0,-4,0,0,-1608,0,0,-4,-1604,0,0,0,-1600,0,-1596
200,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1616,0,0,-20,0,0,1624,0,0,-20,1628,0,0,0,-20,0,-1612,20,0,0,-1608,0,0,20,-1604,0,0,0,0,-4,-1596
202,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1620,4,1624,0,0,0,1628,4,0,0,-20,-4,-1612,0,0,0,-1608,-4,0,0,-1604,0,-1600,0,0,-4,0
204,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1612,-4,1616,0,-4,-4,-4,-4,1624,-24,-4,-4,-24,24,-1608,4,4,4,-1604,24,4,4,4,4,-1596,4,-1592,24,4
207,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1636,20,20,0,20,20,1644,20,1648,20,20,24,0,-20,-1632,-20,-20,-24,-1628,0,-1624,-20,-20,-20,-20,-24,-1616,-20,-20
209,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1616,0,0,-20,1620,4,1624,0,0,0,0,-20,-20,0,-1612,0,0,-4,0,0,-1604,0,-1600,0,0,20,-1596,0,0
212,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1616,0,0,0,1620,4,0,0,0,0,1628,0,-20,0,-1612,0,-1608,20,0,0,0,0,-1600,-4,0,0,-1596,0,0
214,0x55b359b912a4,W,0x7ffc88cf9f20,1,-1612,-1612,-1632,4,-1612,-1612,-1612,8,-1632,-1612,-1612,12,-1612,16,-1612,-1612,1612,1612,1608,4,1632,8,1612,1612,1612,12,1632,1612,1612,16,1612,1612
216,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1612,0,1616,4,0,0,1620,0,0,4,1624,0,0,0,0,0,0,-4,0,0,-1604,0,0,-4,-1600,0,0,0,-1596,0,-1592
217,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1612,0,0,-20,0,0,1620,0,0,-20,1624,0,0,0,1628,0,-1608,20,0,0,-1604,0,0,20,-1600,0,0,0,0,-4,-1592
219,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1616,4,1620,0,0,0,1624,4,0,0,1628,-4,-1608,0,0,0,-1604,-4,0,0,-1600,0,-1596,0,0,-4,0
221,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1608,-4,1612,0,-4,-4,-4,-4,1620,-24,-4,-4,1624,24,-1604,4,4,4,-1600,24,4,4,4,4,-1592,4,-1588,24,4
224,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1632,20,20,0,20,20,1640,20,1644,20,20,24,1648,-20,-1628,-20,-20,-24,-1624,0,-1620,-20,-20,-20,-20,-24,-1612,-20,-20
226,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1612,0,0,-20,1616,4,1620,0,0,0,0,-20,1628,0,-1608,0,0,-4,0,0,-1600,0,-1596,0,0,20,-1592,0,0
229,0x55b359b912a1,R,0x7ffc88cfa56c,1,0,0,4,1612,0,0,0,1616,4,0,0,0,0,1624,0,1628,0,-1608,0,-1604,20,0,0,0,0,-1596,-4,0,0,-1592,0,0
231,0x55b359b912a4,W,0x7ffc88cf9f24,1,-1608,-1608,-1628,4,-1608,-1608,-1608,8,-1628,-1608,-1608,12,-1608,16,-1608,-1608,1608,1608,1604,4,1628,8,1608,1608,1608,12,1628,1608,1608,16,1608,1608
233,0x55b359b912a7,R,0x7ffc88cfa56c,1,0,1608,0,1612,4,0,0,1616,0,0,4,1620,0,0,0,0,0,0,-4,0,0,-1600,0,0,-4,-1596,0,0,0,-1592,0,-1588
234,0x55b359b912a7,W,0x7ffc88cfa56c,1,0,1608,0,0,-20,0,0,1616,0,0,-20,1620,0,0,0,1624,0,-1604,20,0,0,-1600,0,0,20,-1596,0,0,0,0,-4,-1588
236,0x55b359b912ab,R,0x7ffc88cfa56c,1,0,0,0,0,-20,1612,4,1616,0,0,0,1620,4,0,0,1624,-4,-1604,0,0,0,-1600,-4,0,0,-1596,0,-1592,0,0,-4,0
238,0x55b359b912ae,R,0x7ffc88cfa568,1,-4,-4,-4,1604,-4,1608,0,-4,-4,-4,-4,1616,-24,-4,-4,1620,24,-1600,4,4,4,-1596,24,4,4,4,4,-1588,4,-1584,24,4
241,0x55b359b91297,R,0x7ffc88cfa580,1,24,20,20,1628,20,20,0,20,20,1636,20,1640,20,20,24,1644,-20,-1624,-20,-20,-24,-1620,0,-1616,-20,-20,-20,-20,-24,-1608,-20,-20
243,0x55b359b9129b,R,0x7ffc88cfa56c,1,-20,0,0,1608,0,0,-20,1612,4,1616,0,0,0,0,-20,1624,0,-1604,0,0,-4,0,0,-1596,0,-1592,0,0,20,-1588,0,0
